Time,D1,D2,D3,D4,D5
01.01.2023,59825.62,3845.93,0.0,67705.61,131377.15
02.01.2023,110981.84,0.0,0.0,126673.55,237655.4
03.01.2023,95772.98,0.0,0.0,97485.55,193258.54
04.01.2023,100759.33,0.0,0.0,98285.77,199045.13
05.01.2023,77897.03,0.0,0.0,65817.32,143714.35
06.01.2023,84274.39,0.0,0.0,86448.48,170722.9
07.01.2023,78495.92,427.33,0.0,57762.44,136685.73
08.01.2023,64242.2,0.0,0.0,78809.42,143051.62
09.01.2023,116581.35,0.0,0.0,127401.24,243982.6
10.01.2023,125270.35,0.0,0.0,121618.74,246889.05
11.01.2023,88213.9,0.0,0.0,69037.49,157251.41999999998
12.01.2023,68597.3,0.0,0.0,60480.45,129077.75
13.01.2023,57941.1,5127.91,0.0,40944.76,104013.77
14.01.2023,68729.39,854.65,0.0,86882.76,156466.8
15.01.2023,71529.68,3418.6099999999997,0.0,88139.14,163087.48
16.01.2023,95236.34,0.0,0.0,107257.29,202493.59
17.01.2023,95194.07,0.0,0.0,94844.23,190038.3
18.01.2023,146715.09,0.0,0.0,118681.49,265396.58
19.01.2023,149914.1,0.0,0.0,145449.1,295363.23
20.01.2023,162701.24,0.0,0.0,153955.67,316656.92
21.01.2023,155149.0,71.22,0.0,149496.15,304716.37
22.01.2023,177924.28,0.0,0.0,143419.53,321343.81
23.01.2023,177867.88999999998,0.0,0.0,140115.2,317983.07
24.01.2023,176580.57,0.0,0.0,126195.77,302776.33
25.01.2023,168015.42,0.0,0.0,109204.57,277219.96
26.01.2023,99217.81,0.0,0.0,57551.8,156769.59
27.01.2023,95530.05,0.0,0.0,81241.86,176771.95
28.01.2023,116117.45,0.0,0.0,105107.98,221225.41
29.01.2023,136832.61,0.0,0.0,132667.45,269500.1
30.01.2023,182274.72,0.0,0.0,146756.34,329031.11
31.01.2023,169221.59,0.0,0.0,130515.39,299736.95
01.02.2023,82064.54,7755.2,0.0,11092.55,100912.33
02.02.2023,59043.01,854.65,0.0,46246.32,106143.95
03.02.2023,71322.13,854.66,0.0,94670.90000000001,166847.68
04.02.2023,75149.85,3845.93,0.0,78982.03,157977.79
05.02.2023,54367.26,1281.99,0.0,32849.01,88498.24
06.02.2023,69735.93000000001,0.0,0.0,73703.66,143439.62
07.02.2023,48106.14,6409.88,0.0,97522.6,152038.65
08.02.2023,48171.44,6409.88,0.0,88816.85,143398.2
09.02.2023,66795.72,0.0,0.0,84186.73,150982.44
10.02.2023,80575.47,0.0,0.0,90759.8,171335.32
11.02.2023,88782.45999999999,427.33,0.0,92398.82,181608.63
12.02.2023,97392.86,427.33,0.0,114114.93,211935.11
13.02.2023,163197.65,0.0,0.0,132382.4,295580.05
14.02.2023,123990.58,0.0,0.0,103843.5,227834.1
15.02.2023,114330.95,0.0,0.0,125674.02,240004.98
16.02.2023,132950.94,0.0,0.0,142542.27,275493.22000000003
17.02.2023,134936.13,142.44,0.0,140218.62,275297.2
18.02.2023,125627.52,0.0,0.0,135285.36,260912.87
19.02.2023,98023.95999999999,4273.26,0.0,108435.98,210733.18
20.02.2023,84399.52,0.0,0.0,51317.52,135717.03
21.02.2023,69524.36,6231.48,0.0,11907.31,87663.13
22.02.2023,60976.229999999996,1425.1799999999998,0.0,48969.11,111370.52
23.02.2023,76932.78,4273.28,0.0,102517.18000000001,183723.22
24.02.2023,112124.49,4273.26,0.0,130396.95999999999,246794.74
25.02.2023,115480.84,3418.62,0.0,120614.99,239514.42
26.02.2023,98168.87,3845.93,0.0,119762.39,221777.15
27.02.2023,132436.16,0.0,0.0,162333.03,294769.15
28.02.2023,105307.58,2563.96,0.0,147563.49,255435.0
01.03.2023,50753.05,6837.2,0.0,82865.83,140456.11
02.03.2023,52053.36,6623.54,0.0,108805.48,167482.42
03.03.2023,57595.17,5982.55,0.0,83440.57,147018.32
04.03.2023,75957.1,4700.59,0.0,105828.47,186486.14
05.03.2023,57114.5,6409.88,0.0,91068.69,154593.08000000002
06.03.2023,82142.2,0.0,0.0,76942.79000000001,159084.96
07.03.2023,64908.35,3418.6099999999997,0.0,82891.72,151218.72999999998
08.03.2023,65996.61,6623.54,0.0,105083.73,177703.86
09.03.2023,46376.4,6409.88,0.0,61887.83,114674.12
10.03.2023,45823.4,6409.88,0.0,91617.65,143850.92
11.03.2023,78146.74,10502.44,0.0,25726.36,114375.5
12.03.2023,130035.76,20023.99,0.0,3708.0,153767.7
13.03.2023,49538.71,0.0,0.0,100480.38,150019.07
14.03.2023,45271.64,6837.2,0.0,92378.03,144486.85
15.03.2023,48020.61,6694.92,0.0,86994.75,141710.29
16.03.2023,32839.31,6837.2,0.0,61942.03,101618.54
17.03.2023,36285.09,6837.2,0.0,58430.24,101552.56
18.03.2023,38864.7,6547.07,0.0,112558.69,157970.43
19.03.2023,28452.13,6973.01,0.0,86405.91,121830.99
20.03.2023,42170.86,0.0,0.0,66102.41,108273.29
21.03.2023,39558.2,6837.2,0.0,75880.62,122276.01000000001
22.03.2023,48244.39,6837.2,0.0,126578.37000000001,181659.96
23.03.2023,58189.13,6837.2,0.0,178899.67,243925.97
24.03.2023,60684.26,6837.2,0.0,194775.77,262297.27
25.03.2023,66882.21,6837.2,0.0,196436.23,270155.64
26.03.2023,66234.27,6837.2,0.0,197956.29,271027.8
27.03.2023,63250.86,0.0,0.0,179371.97,242622.79
28.03.2023,46736.11,6721.69,0.0,140265.45,193723.29
29.03.2023,35503.43,6855.47,0.0,110938.97,153297.9
30.03.2023,52318.86,6837.2,0.0,167478.51,226634.59
31.03.2023,80023.77,6837.2,0.0,154693.78,241554.74
01.04.2023,37323.479999999996,6546.55,0.0,104721.04,148591.05
02.04.2023,34490.57,6813.26,0.0,63262.66,104566.5
03.04.2023,55822.47,0.0,0.0,104652.76,160475.22
04.04.2023,54119.09,6741.37,0.0,106555.67,167416.13
05.04.2023,46316.14,6634.139999999999,0.0,105005.06999999999,157955.39
06.04.2023,24616.32,6837.2,0.0,69632.11,101085.63
07.04.2023,46580.66,11157.75,0.0,33446.63,91185.04
08.04.2023,28165.33,5473.38,0.0,23860.74,57499.44
09.04.2023,23106.16,5894.12,0.0,33446.04,62446.35
10.04.2023,31827.2,0.0,0.0,116172.95,148000.16
11.04.2023,45475.9,6829.84,0.0,137835.54,190141.29
12.04.2023,44556.42,6694.76,0.0,158473.21,209724.39
13.04.2023,74851.17,6837.2,0.0,163027.9,244716.31
14.04.2023,74207.99,6837.2,0.0,137686.08,218731.27
15.04.2023,39632.9,7821.15,0.0,108512.07,155966.12
16.04.2023,17481.85,8563.38,0.0,70956.01,97001.25
17.04.2023,15953.28,1709.32,0.0,40844.96,58507.51
18.04.2023,13040.7,14402.32,0.0,83252.32,110695.36
19.04.2023,5868.24,16069.23,0.0,82148.8,104086.28
20.04.2023,7730.05,20248.65,0.0,81234.69,109213.39
21.04.2023,576.34,23516.41,0.0,111179.45999999999,135272.24
22.04.2023,0.0,26485.17,0.0,119213.71,145698.9
23.04.2023,8202.03,24325.829999999998,0.0,71326.37,103854.25
24.04.2023,6312.0,21244.079999999998,0.0,21282.38,48838.44
25.04.2023,22127.67,19074.16,0.0,39214.74,80416.6
26.04.2023,5819.58,9348.93,0.0,69912.15,85080.65
27.04.2023,6008.63,8193.24,0.0,70950.45,85152.31
28.04.2023,17589.58,6837.2,0.0,60797.59,85224.36
29.04.2023,25980.13,7500.58,0.0,67779.65,101260.41
30.04.2023,26689.54,6841.27,0.0,43846.89,77377.72
01.05.2023,10913.42,8119.19,0.0,30824.42,49856.99
02.05.2023,18233.19,8168.01,0.0,55861.119999999995,82262.33
03.05.2023,21325.95,10371.27,0.0,106414.19,138111.39
04.05.2023,33678.97,18561.03,0.0,48353.04,100593.05
05.05.2023,51622.61,24811.55,0.0,5127.84,81562.04
06.05.2023,64675.0,23487.16,0.0,7234.05,95396.19
07.05.2023,91804.83,33133.31,0.0,655.2,125593.33
08.05.2023,101884.97,26645.440000000002,0.0,1469.3,129999.70999999999
09.05.2023,122726.95,27339.98,0.0,1161.28,151228.23
10.05.2023,124534.55,23971.77,0.0,1749.28,150255.58
11.05.2023,96453.45,19699.420000000002,0.0,6543.59,122696.43
12.05.2023,113482.13,25479.2,0.0,1818.9099999999999,140780.28
13.05.2023,66925.65,22844.03,0.0,5590.88,95360.59
14.05.2023,79886.3,25120.64,0.0,6024.51,111031.46
15.05.2023,13921.91,7758.97,0.0,30182.260000000002,51863.18
16.05.2023,10916.98,10698.93,0.0,83764.38,105380.31
17.05.2023,11568.47,8531.67,0.0,73482.92,93583.05
18.05.2023,10915.6,11482.86,0.0,82499.38,104897.84
19.05.2023,6618.07,14950.35,0.0,78014.64,99583.07
20.05.2023,24768.940000000002,20235.38,0.0,32288.43,77292.78
21.05.2023,48496.17,30752.93,0.0,13335.58,92584.66
22.05.2023,77973.57,25799.71,0.0,1507.33,105280.58
23.05.2023,55008.43,22259.57,0.0,37249.54,114517.52
24.05.2023,8692.3,15548.14,0.0,60804.2,85044.66
25.05.2023,26033.42,19831.93,0.0,38536.27,84401.61
26.05.2023,1825.23,17586.5,0.0,76616.55,96028.3
27.05.2023,20004.45,20407.16,0.0,60446.01,100857.67
28.05.2023,39070.44,30457.25,0.0,24217.38,93745.05
29.05.2023,2325.0299999999997,20752.09,0.0,50608.58,73685.77
30.05.2023,18643.73,21188.93,0.0,40769.07,80601.8
31.05.2023,43625.42,31103.86,0.0,12784.16,87513.42
01.06.2023,0.0,25304.87,0.0,105120.38,130425.28
02.06.2023,1549.69,27417.01,0.0,66801.33,95768.06999999999
03.06.2023,6003.639999999999,26448.88,0.0,68905.14,101357.66
04.06.2023,28621.53,29592.21,0.0,30600.75,88814.51
05.06.2023,19092.27,21390.17,0.0,30631.03,71113.5
06.06.2023,16720.809999999998,18807.34,0.0,55006.83,90534.98
07.06.2023,5608.51,16592.62,0.0,97074.03,119275.18000000001
08.06.2023,4970.29,16140.39,0.0,49055.32,70166.03
09.06.2023,44932.37,26849.07,0.0,7522.99,79304.48
10.06.2023,39901.17,16144.289999999999,0.0,18494.62,74540.09
11.06.2023,53121.229999999996,17952.739999999998,0.0,20384.07,91458.05
12.06.2023,99209.16,25653.8,0.0,2076.83,126939.78
13.06.2023,91921.52,35200.97,0.0,811.58,127934.1
14.06.2023,67646.0,39779.36,0.0,929.0699999999999,108354.35
15.06.2023,67828.13,35872.9,0.0,1238.21,104939.2
16.06.2023,64937.43,39564.31,0.0,1954.57,106456.33
17.06.2023,62278.32,40349.840000000004,0.0,1481.3,104109.47
18.06.2023,62701.15,40760.77,0.0,339.26,103801.18
19.06.2023,60300.55,29853.35,0.0,1797.86,91951.73
20.06.2023,67956.54,33221.62,0.0,1135.22,102313.37
21.06.2023,57145.75,31706.23,0.0,5135.34,93987.37
22.06.2023,65148.58,36227.3,0.0,1345.94,102721.81
23.06.2023,66044.64,32659.09,0.0,3261.67,101965.43
24.06.2023,59545.28,42144.37,0.0,3224.59,104914.21
25.06.2023,48056.729999999996,44489.42,0.0,1931.67,94477.83
26.06.2023,55235.8,48751.54,0.0,964.99,104952.34
27.06.2023,32639.66,52357.090000000004,0.0,120.0,85116.72
28.06.2023,45534.2,48605.64,0.0,227.82999999999998,94367.61
29.06.2023,30737.469999999998,25491.13,0.0,37309.9,93538.49
30.06.2023,3005.34,19645.35,0.0,50865.54,73516.25
01.07.2023,63481.92,38117.01,0.0,227.51999999999998,101826.45999999999
02.07.2023,74713.31999999999,38861.91,0.0,278.47,113853.70999999999
03.07.2023,27670.28,20937.59,0.0,20792.21,69400.14
04.07.2023,48585.29,27264.12,0.0,7100.639999999999,82950.04
05.07.2023,63304.299999999996,32186.71,0.0,2195.42,97686.39
06.07.2023,77493.85,30516.78,0.0,2093.34,110103.92
07.07.2023,64423.12,29157.149999999998,0.0,3885.3,97465.58
08.07.2023,59960.85,33291.53,0.0,2808.89,96061.3
09.07.2023,70577.26,37640.47,0.0,937.56,109155.31
10.07.2023,61252.05,35981.13,0.0,174.09,97407.31
11.07.2023,41582.92,46160.43,0.0,177.46,87920.79
12.07.2023,59490.8,34448.13,0.0,1935.21,95874.15
13.07.2023,55347.33,33214.31,0.0,2961.46,91523.12
14.07.2023,41911.69,28084.97,0.0,16623.73,86620.35
15.07.2023,32901.03,24866.55,0.0,20442.47,78210.08
16.07.2023,39965.94,25961.3,0.0,17025.24,82952.5
17.07.2023,64720.28,32639.07,0.0,3899.73,101259.08
18.07.2023,60043.83,43779.41,0.0,120.0,103943.25
19.07.2023,43282.14,47120.270000000004,0.0,120.0,90522.38
20.07.2023,30979.46,51311.46,0.0,120.0,82410.93
21.07.2023,25952.04,54085.4,0.0,120.0,80157.41
22.07.2023,39686.88,49683.450000000004,0.0,120.0,89490.33
23.07.2023,37126.55,47887.95,0.0,120.0,85134.52
24.07.2023,45560.4,44172.86,0.0,120.0,89853.28
25.07.2023,57739.6,43168.26,0.0,284.5,101192.39
26.07.2023,54159.87,42497.95,0.0,284.07,96941.86
27.07.2023,70914.35,37264.08,0.0,1089.48,109267.85
28.07.2023,65334.42,38053.42,0.0,760.55,104148.39
29.07.2023,64221.68,39995.27,0.0,435.51,104652.51
30.07.2023,65336.42,40075.73,0.0,438.71000000000004,105850.84
31.07.2023,72058.49,30378.37,0.0,445.26,102882.12
01.08.2023,62998.24,34271.81,0.0,4285.7300000000005,101555.81
02.08.2023,57220.9,31347.07,0.0,3504.89,92072.84
03.08.2023,76594.76,38894.63,0.0,631.82,116121.20999999999
04.08.2023,78221.55,43281.31,0.0,120.0,121622.92
05.08.2023,91264.27,32640.12,0.0,1015.32,124919.69
06.08.2023,86424.69,34441.01,0.0,712.2,121577.92
07.08.2023,84806.48,27642.23,0.0,1248.01,113696.72
08.08.2023,72529.91,40906.88,0.0,382.43,113819.22
09.08.2023,68386.3,31027.64,0.0,6155.93,105569.87
10.08.2023,44649.33,25643.14,0.0,29597.12,99889.6
11.08.2023,27106.6,22081.94,0.0,29694.43,78883.0
12.08.2023,60815.94,23465.82,0.0,14382.01,98663.82
13.08.2023,84613.61,40527.51,0.0,228.85,125369.98
14.08.2023,83775.89,30246.04,0.0,761.14,114783.08
15.08.2023,82702.66,37391.58,0.0,827.01,120921.28
16.08.2023,82714.79000000001,32557.079999999998,0.0,1230.9,116502.74
17.08.2023,76590.57,33610.0,0.0,1231.0,111431.57
